Country,Code,Year,avg_years_of_schooling,Both sexes,Male,Female,Continent,suicides_per_100k,gdp
Thailand,THA,2003,6.7,194,250,138,Asia,91.16,"152,280,653,544"
Poland,POL,2003,11.5,140,201,79,Europe,180.15,"217,513,049,292"
Portugal,PRT,2003,7.2,104,146,63,Europe,166.46,"164,964,195,260"
Chile,CHL,2003,9.4,100,133,68,South America,153.54,"75,643,459,840"
Colombia,COL,2003,6.5,155,209,100,South America,79.85,"94,684,584,163"
Belize,BLZ,2003,10.2,199,248,147,North America,59.0,"990,374,050"
Mauritius,MUS,2003,6.8,168,219,116,Africa,94.02,"5,609,831,328"
Montenegro,MNE,2003,10.3,132,171,94,Europe,0.0,"1,707,710,053"
Belgium,BEL,2003,10.4,94,121,65,Europe,248.73,"319,002,821,670"
Ukraine,UKR,2003,10.6,258,372,140,Europe,337.07,"50,132,953,288"
Costa Rica,CRI,2003,7.9,101,130,71,North America,115.88,"17,195,867,540"
Armenia,ARM,2003,10.8,137,194,86,Asia,33.43,"2,807,061,009"
Norway,NOR,2003,12.2,77,95,57,Europe,138.07999999999998,"228,752,436,372"
Paraguay,PRY,2003,7.0,166,186,145,South America,51.35,"6,588,103,836"
Luxembourg,LUX,2003,10.9,85,115,53,Europe,164.37,"29,557,325,056"
Romania,ROU,2003,9.7,174,239,106,Europe,159.71,"59,867,801,205"
Bulgaria,BGR,2003,10.1,154,215,91,Europe,207.65,"20,982,685,981"
Maldives,MDV,2003,3.3,114,128,99,Asia,15.52,"1,052,121,055"
Australia,AUS,2004,11.8,67,85,49,Oceania,133.76,"611,904,253,806"
Poland,POL,2004,11.6,142,204,78,Europe,187.74,"255,102,252,843"
Sweden,SWE,2004,12.3,70,85,54,Europe,157.41,"381,705,425,302"
Iceland,ISL,2004,9.9,61,71,51,Europe,168.81,"13,722,824,251"
Bulgaria,BGR,2004,10.1,154,215,92,Europe,184.12,"25,957,970,922"
Bahamas,BHS,2004,10.9,187,236,138,North America,5.93,"9,055,290,000"
France,FRA,2004,10.3,92,124,58,Europe,232.51000000000002,"2,115,742,488,205"
El Salvador,SLV,2004,5.8,209,297,127,North America,111.56,"13,724,810,900"
Montenegro,MNE,2004,10.4,131,171,91,Europe,0.0,"2,073,234,418"
Suriname,SUR,2004,7.7,216,269,160,South America,202.1,"1,484,092,538"
Slovenia,SVN,2004,12.0,113,153,71,Europe,298.48,"34,470,227,454"
Panama,PAN,2004,8.9,117,147,85,North America,81.76,"15,013,381,700"
Georgia,GEO,2004,12.0,148,216,85,Asia,66.54,"5,125,363,001"
Ireland,IRL,2004,11.6,79,99,59,Europe,129.42000000000002,"193,870,350,137"
Slovakia,SVK,2004,10.6,137,196,78,Europe,150.9,"57,240,535,138"
Mexico,MEX,2004,7.4,132,166,99,North America,60.75,"782,240,601,985"
Israel,ISR,2004,12.2,73,95,51,Asia,98.44,"135,445,033,199"
Chile,CHL,2004,9.6,98,130,66,South America,155.69,"99,210,392,858"
Germany,DEU,2004,12.9,85,111,58,Europe,172.23,"2,819,245,095,605"
Norway,NOR,2004,12.7,76,93,58,Europe,141.37,"264,357,494,659"
Netherlands,NLD,2004,11.5,76,89,63,Europe,111.16,"650,532,654,582"
Albania,ALB,2004,9.1,101,127,74,Europe,65.39,"7,314,865,176"
Spain,ESP,2004,8.6,79,110,46,Europe,112.63000000000001,"1,069,555,500,372"
New Zealand,NZL,2004,11.6,79,94,63,Oceania,163.41,"103,904,537,815"
Finland,FIN,2004,11.9,101,137,62,Europe,243.95000000000002,"196,768,065,557"
Brazil,BRA,2004,6.2,169,227,111,South America,70.22,"669,316,654,017"
Guatemala,GTM,2004,3.6,206,271,145,North America,29.93,"23,965,275,996"
Fiji,FJI,2004,9.3,218,263,168,Oceania,90.49000000000001,"2,727,507,213"
Grenada,GRD,2004,7.7,186,236,134,North America,13.37,"599,118,593"
Azerbaijan,AZE,2004,10.6,151,202,102,Asia,18.33,"8,680,472,169"
Paraguay,PRY,2004,7.1,165,185,143,South America,65.44,"8,033,877,360"
South Africa,ZAF,2004,8.8,459,496,426,Africa,12.63,"228,937,347,866"
Greece,GRC,2004,9.6,80,111,47,Europe,40.92,"240,521,260,988"
Guyana,GUY,2004,7.9,270,316,222,South America,400.0,"785,918,770"
Uzbekistan,UZB,2004,9.7,174,218,131,Asia,68.03999999999999,"12,030,023,548"
Canada,CAN,2004,12.0,76,94,57,North America,131.66,"1,023,196,003,075"
